SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
00682,11733,4681.467,997.3050000000001,1947.678,1337.5620000000001,1020.771,856.5089999999999,340.25699999999995,305.05800000000005,117.33,140.796
00683,11752,4030.9359999999997,1798.056,2068.3520000000003,1398.488,1092.9360000000001,810.888,211.53600000000003,211.53600000000003,70.512,47.008
00685,14046,5407.71,1994.532,2795.1539999999995,1531.014,1165.818,800.6220000000001,224.73600000000002,70.23,42.138,0.0
00687,9827,3105.332,1130.105,2240.556,1306.991,1110.451,569.966,265.329,58.962,39.308,9.827
00688,4256,1485.3439999999998,676.7040000000001,795.872,549.024,404.32,285.15200000000004,29.791999999999998,21.28,0.0,8.512
00690,2171,529.7239999999999,306.111,542.75,182.364,247.494,234.46800000000002,82.498,47.76200000000001,0.0,0.0
00692,11904,3297.4079999999994,1630.8479999999997,2285.568,1476.096,1368.96,892.8,535.68,202.36800000000002,59.52,142.848
00693,17873,5898.09,2109.014,3181.3940000000002,1876.665,1787.3000000000002,2055.395,554.063,303.841,71.492,53.619
00694,39,14.001,24.998999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00698,10643,4044.34,1341.018,1851.8819999999998,1149.4440000000002,1096.229,723.724,287.36100000000005,95.787,53.215,10.643
00703,8790,3076.5,1265.7600000000002,1696.47,1063.59,817.4700000000001,553.77,123.05999999999999,140.64000000000001,8.790000000000001,43.95
00704,2938,1045.928,467.142,552.344,352.56,185.094,273.23400000000004,61.698,0.0,0.0,0.0
00705,8526,2515.17,1168.062,1654.0439999999999,1227.7440000000001,844.0740000000001,886.7040000000001,136.416,93.78600000000002,0.0,0.0
