SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
01030,11278,10131,195,0,209,0,35,708
01031,1192,1152,8,0,0,0,23,9
01032,590,576,0,0,4,0,0,10
01033,6310,5736,0,0,18,0,120,436
01034,2323,2242,0,2,5,0,34,40
01035,5338,4796,121,20,119,0,43,239
01036,5190,5037,10,0,26,0,11,106
01037,755,670,12,0,0,0,0,73
01038,2853,2786,21,0,36,0,9,1
01039,1194,1158,6,0,0,0,0,30
01040,40280,17387,1411,113,727,0,512,20130
01050,2343,2184,95,4,0,4,48,8
01053,1697,1524,62,0,15,0,20,76
01054,1972,1873,15,3,22,0,32,27
01056,21352,19191,251,23,269,18,191,1409
01057,8773,8406,26,0,50,0,168,123
01060,15407,12364,512,6,813,0,314,1398
01062,10867,8828,153,6,676,0,326,878
01063,563,359,23,0,107,0,28,46
01066,12,12,0,0,0,0,0,0
01068,1825,1743,4,11,5,0,17,45
01069,8753,8423,125,0,6,0,53,146
01070,562,511,3,1,14,0,19,14
01071,1271,1211,9,5,8,0,27,11
01072,1542,1370,13,2,9,0,78,70
01073,6081,5980,0,0,62,0,15,24
01074,228,228,0,0,0,0,0,0
01075,17770,15228,545,0,667,0,391,939
01077,9650,9240,1,0,158,0,236,15
01079,811,779,0,0,0,0,0,32
01080,2452,2091,43,0,0,0,191,127
01081,1823,1771,2,0,0,0,8,42
01082,10612,9772,72,0,50,39,242,437
01083,3148,2963,0,0,132,0,12,41
01084,154,150,0,0,0,0,0,4
01085,41479,35963,680,47,935,39,660,3155
01086,690,607,53,0,0,0,0,30
01088,433,389,23,0,0,0,8,13
01089,28575,22648,743,72,1358,0,830,2924
01092,1191,1188,2,0,0,0,0,1
01093,289,284,0,0,0,0,5,0
01094,347,340,0,0,0,0,0,7
01095,14569,13141,382,0,121,0,352,573
01096,2564,2518,0,0,9,10,10,17
01097,78,70,0,0,0,0,8,0
01098,1117,1066,5,0,9,3,21,13
01103,2430,464,365,0,66,0,59,1476
01104,23183,7323,1854,0,417,5,331,13253
01105,11576,1657,2350,0,13,0,168,7388
01106,15983,13919,149,0,955,0,318,642
01107,11474,1337,1051,0,41,0,62,8983
01108,28449,8890,4648,108,1346,0,932,12525
01109,30139,6516,10515,19,241,0,1076,11772
01118,14293,9042,1754,87,542,0,320,2548
01119,13091,6270,3009,0,173,0,179,3460
01128,2695,1786,429,13,13,0,165,289
01129,7220,4395,1273,8,100,0,266,1178
01151,9295,3330,1759,0,158,8,432,3608
01199,0,0,0,0,0,0,0,0
01201,45001,38496,1964,72,880,14,1173,2402
01220,8266,7965,35,6,20,0,148,92
01222,829,823,0,0,0,0,0,6
01223,2247,2130,30,4,5,0,27,51
01224,176,166,0,0,10,0,0,0
01225,3192,3117,0,0,0,0,9,66
01226,6885,6504,23,34,89,0,38,197
01229,102,86,0,0,0,0,8,8
01230,8195,6902,199,11,144,6,158,775
01235,2666,2582,20,7,3,0,35,19
01236,1422,1246,71,0,18,0,72,15
01237,2755,2656,64,0,2,0,15,18
01238,5950,5552,72,0,139,0,2,185
01240,4592,4299,57,0,95,0,6,135
01242,429,428,0,0,0,0,1,0
01243,381,362,0,16,3,0,0,0
01244,82,82,0,0,0,0,0,0
01245,870,827,13,0,3,0,21,6
01247,15725,14312,175,11,30,21,622,554
01253,734,714,0,0,0,0,5,15
01254,985,920,14,6,24,0,20,1
01255,869,817,3,0,16,0,20,13
01256,764,658,53,0,0,0,36,17
01257,2164,2130,12,0,0,0,15,7
01258,359,341,0,5,1,5,2,5
01259,556,547,7,0,0,0,2,0
01260,545,545,0,0,0,0,0,0
01262,1196,1033,34,0,5,0,81,43
01264,161,161,0,0,0,0,0,0
01266,1380,1259,0,28,31,4,29,29
01267,7846,6212,357,60,412,0,261,544
01270,814,785,0,0,14,0,2,13
01301,17730,15638,231,0,149,0,404,1308
01330,1468,1415,4,0,9,0,38,2
01331,13205,12105,75,11,114,0,175,725
01337,2598,2471,10,0,41,0,12,64
01338,138,138,0,0,0,0,0,0
01339,1461,1410,9,0,29,0,9,4
01340,1689,1606,8,5,30,0,31,9
01341,1716,1662,0,0,1,0,3,50
01342,1768,1463,57,0,57,0,107,84
01343,46,46,0,0,0,0,0,0
01344,1582,1478,29,0,13,0,27,35
01346,465,443,0,1,2,0,7,12
01347,133,133,0,0,0,0,0,0
01349,1106,1059,8,16,0,0,23,0
01350,95,94,0,0,0,0,1,0
01351,2312,2197,1,16,11,0,51,36
01354,1656,1513,46,0,14,0,33,50
01355,915,905,0,0,0,0,10,0
01360,3006,2855,12,0,44,0,0,95
01364,7832,7514,17,30,50,0,80,141
01366,1202,1155,6,0,2,0,19,20
01367,686,654,1,0,0,0,7,24
01368,1363,1330,2,9,5,0,2,15
01370,3879,3681,11,17,86,0,66,18
01373,4184,3976,16,12,42,0,75,63
01375,3673,2871,113,9,292,59,100,229
01376,5101,4314,136,33,140,0,242,236
01378,734,700,0,4,8,0,9,13
01379,775,734,3,6,6,0,13,13
01420,40441,26027,1380,110,1684,0,839,10401
01430,6171,5939,59,0,9,0,111,53
01431,3196,3094,13,1,33,0,0,55
01432,7594,6285,295,0,408,0,244,362
01434,1716,1021,332,24,57,0,47,235
01436,3823,3760,4,0,0,0,32,27
01438,635,634,1,0,0,0,0,0
