SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
01093,256,0,73,19,164
01094,288,25,118,55,90
01095,11422,241,3191,2389,5601
01096,1999,41,656,366,936
01097,47,0,25,22,0
01098,960,6,355,176,423
01103,1983,267,632,537,547
01104,17066,2102,8286,3455,3223
01105,8366,2011,3821,1420,1114
01106,12386,265,1887,2188,8046
01107,7964,2330,3116,1475,1043
01108,19834,2414,8118,4580,4722
01109,22791,2366,9141,7483,3801
01118,11043,524,3952,2360,4207
01119,10316,726,3664,3232,2694
01128,2260,73,692,654,841
01129,5580,267,1983,1326,2004
01151,6417,661,3007,1385,1364
01199,0,0,0,0,0
01201,36251,1703,13758,7910,12880
01220,6713,301,3211,1303,1898
01222,682,4,310,92,276
01223,1914,42,787,295,790
01224,166,10,54,35,67
01225,2666,109,1131,695,731
01226,5680,131,1689,1417,2443
01229,80,8,26,23,23
01230,6706,369,2178,1161,2998
01235,2128,52,975,317,784
01236,1021,24,154,221,622
01237,2099,29,765,307,998
01238,4881,239,1821,922,1899
01240,3918,133,870,688,2227
01242,297,2,85,54,156
01243,343,7,143,89,104
01244,73,0,13,12,48
01245,751,26,186,126,413
01247,13115,777,5686,3150,3502
01253,607,6,221,125,255
01254,861,21,160,130,550
01255,715,22,279,122,292
01256,622,23,332,121,146
01257,1804,46,767,331,660
01258,338,2,80,52,204
01259,524,5,160,68,291
01260,391,0,158,123,110
01262,1085,115,357,164,449
01264,143,0,47,15,81
01266,1204,7,278,304,615
01267,6673,227,1169,2425,2852
01270,684,9,179,155,341
01301,14392,320,5047,3355,5670
01330,1235,20,308,221,686
01331,10449,490,4905,2221,2833
01337,2109,45,818,362,884
01338,127,8,31,9,79
01339,1187,26,420,303,438
01340,1417,41,563,327,486
01341,1357,6,222,247,882
01342,1431,58,219,248,906
01343,46,2,30,6,8
01344,1252,18,607,251,376
01346,381,16,146,68,151
01347,106,0,46,16,44
01349,916,66,406,242,202
01350,77,2,35,21,19
01351,1864,44,526,350,944
01354,1453,22,450,248,733
01355,745,5,229,155,356
01360,2368,31,761,351,1225
01364,6235,277,3037,1422,1499
01366,1029,12,290,310,417
01367,490,7,212,118,153
01368,1116,54,530,260,272
01370,3310,158,952,567,1633
01373,3410,48,709,857,1796
01375,3163,74,652,702,1735
01376,4189,294,1583,976,1336
01378,642,22,240,136,244
01379,650,14,199,101,336
01420,31235,2239,13750,7316,7930
01430,4697,95,1410,951,2241
01431,2563,141,1031,481,910
01432,6041,121,1889,1278,2753
01434,1637,81,589,435,532
01436,2783,126,1287,582,788
01438,523,15,274,97,137
01440,16097,899,7265,3719,4214
01450,8467,200,1408,1424,5435
01451,3437,38,362,347,2690
01452,3456,69,1257,919,1211
01453,32398,1984,12542,6682,11190
01460,7497,146,1600,1243,4508
01462,8526,275,2701,1732,3818
01463,9042,214,2779,2093,3956
01464,6234,298,3102,1103,1731
01467,488,18,41,106,323
01468,3241,83,1249,948,961
01469,5566,96,1992,1233,2245
01473,5910,116,1464,1138,3192
01474,1575,90,524,282,679
01475,8054,403,3553,1774,2324
01501,13162,436,4378,2570,5778
01503,2497,108,729,365,1295
01504,7082,153,2689,1770,2470
01505,3498,121,810,470,2097
01506,2648,154,1014,491,989
01507,10308,317,3560,2106,4325
01510,11103,411,4275,2054,4363
